image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,parent,d_hash
https://static01.nyt.com/images/2019/02/07/science/07ABORTION/07ABORTION-facebookJumbo.jpg,1184916984,1,What Trump Got Wrong About Late-Term Abortions,https://www.nytimes.com/2019/02/06/health/late-term-abortion-trump.html,New York Times,http://nytimes.com,2019-02-06 18:56:17,2,130188,[3687],0,11
https://www.liveaction.org/news/wp-content/uploads/2015/07/Miss-Pennsylvania.jpg,673223691,83282,"Conceived in rape, former Miss Pennsylvania shares why every human life deserves protection",https://www.liveaction.org/news/conceived-in-rape-former-miss-pennsylvania-shares-why-every-human-life-deserves-protection/,Live Action News,http://liveactionnews.org/,2017-08-11 18:31:27,2,126854,[],0,12
https://cbsnews3.cbsistatic.com/hub/i/r/2017/01/27/e9aa704a-52d1-441a-8f45-b1e302989203/thumbnail/1200x630/2bb494c567bb6b7ab92b1ac239eede9c/march-for-life-getty-632855678.jpg,1283114934,1752,Alabama just passed a near-total abortion ban,http://www.cbsnews.com/news/alabama-abortion-law-passed-alabama-passes-near-total-abortion-ban-with-no-exceptions-for-rape-or-incest-2019-05-14/,cbs news,http://www.cbsnews.com/,2019-05-14 21:54:44,1,119526,[3687],0,13
http://gothamist.com/assets_c/2019/01/12319RHA-thumb-640xauto-1026970.jpg,1173274829,5810,"Cuomo Signs Historic Abortion Law, Celebrates By Turning One WTC Pink",http://gothamist.com/2019/01/23/reproductive_health_act_ny.php,Gothamist,http://gothamist.com/,2019-01-23 11:34:00,1,113342,[],0,14
https://cbsnews1.cbsistatic.com/hub/i/r/2019/01/08/78af1108-e687-4d8e-8dc4-07a44c5bd872/thumbnail/1200x630/422ae644e3bd74b27f5175cd0dae90a6/gettyimages-1078781836.jpg,1183342907,1752,New York passes law allowing abortions at any time if mother's health is at risk,https://www.cbsnews.com/news/new-york-passes-abortion-bill-late-term-if-mothers-health-is-at-risk-today-2019-01-23/,cbs news,http://www.cbsnews.com/,2019-01-24 20:30:09,1,110438,[3687],0,15
https://i2.wp.com/www.nationalreview.com/wp-content/uploads/2017/12/ralph-northam-says-medicaid-expansion-no-brainer-hes-wrong-1.jpg?resize=300%2C300&ssl=1,1183337239,1117,Virginia Governor Defends Letting Infants Die | National Review,https://www.nationalreview.com/corner/virginia-governor-defends-letting-infants-die/,National Review,http://www.nationalreview.com/,2019-01-30 17:03:14,1,104589,[3688],0,16
https://cdn.cnn.com/cnnnext/dam/assets/130603130022-norma-mccorvey-story-top.jpg,1173366034,1095,New York puts in measures to protect access to abortion even if Roe v. Wade is overturned,http://rss.cnn.com/~r/rss/cnn_latest/~3/nO7KjzQ8X5A/index.html,CNN,http://www.cnn.com/,2019-01-23 14:29:01,12,100994,[3687],0,17
https://cbsnews3.cbsistatic.com/hub/i/r/2016/12/07/2b3c8a1b-db2b-45d1-ba27-89897f29e60d/thumbnail/1200x630/9c201083e8b41e134a9ed65c63e15b68/ohio-heartbeat-bill-2-2016-12-6.png,1281895888,195373,11-year-old rape victim couldn't have abortion under new Ohio law,https://www.cbsnews.com/news/ohio-abortion-heartbeat-bill-pregnant-11-year-old-rape-victim-barred-abortion-after-new-ohio-abortion-bill-2019-05-13/,cbsn.ws,http://cbsn.ws/,2019-05-13 16:40:46,24,95847,[],0,18
https://cbsnews3.cbsistatic.com/hub/i/r/2016/12/07/2b3c8a1b-db2b-45d1-ba27-89897f29e60d/thumbnail/1200x630/9c201083e8b41e134a9ed65c63e15b68/ohio-heartbeat-bill-2-2016-12-6.png,1290272299,1752,A pregnant 11-year-old rape victim in Ohio would no longer be allowed to have an abortion under new state law,https://www.cbsnews.com/news/ohio-abortion-heartbeat-bill-pregnant-11-year-old-rape-victim-barred-abortion-after-new-ohio-abortion-bill-2019-05-13/?ftag=CNM-00-10aab6a&amp;linkId=67347419,cbs news,http://www.cbsnews.com/,2019-05-15 01:29:00,5,95847,[3687],0,19
https://cbsnews3.cbsistatic.com/hub/i/r/2016/12/07/2b3c8a1b-db2b-45d1-ba27-89897f29e60d/thumbnail/1200x630/9c201083e8b41e134a9ed65c63e15b68/ohio-heartbeat-bill-2-2016-12-6.png,1281888237,1752,11-year-old rape victim couldn't have abortion under new Ohio law,http://www.cbsnews.com/news/ohio-abortion-heartbeat-bill-pregnant-11-year-old-rape-victim-barred-abortion-after-new-ohio-abortion-bill-2019-05-13/,cbs news,http://www.cbsnews.com/,2019-05-13 16:40:46,0,95847,[3687],0,20
https://i.guim.co.uk/img/media/ec38fe9dca67637e06fedb446ed64ad0d7fdfdb0/0_1667_1961_1176/master/1961.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=1c7f2dc2ba712c7361509de094e25bd4,1283168003,623382,These 25 white men – all Republicans – just voted to ban abortion in Alabama,https://www.theguardian.com/us-news/2019/may/14/alabama-abortion-ban-white-men-republicans,Guardian - United States,http://www.theguardian.com/us,2019-05-14 22:52:24,15,95809,[],0,21
https://i.guim.co.uk/img/media/ec38fe9dca67637e06fedb446ed64ad0d7fdfdb0/0_1667_1961_1176/master/1961.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=1c7f2dc2ba712c7361509de094e25bd4,1290242219,623382,These 25 Republicans – all white men – just voted to ban abortion in Alabama,https://www.theguardian.com/us-news/2019/may/14/alabama-abortion-ban-white-men-republicans?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1557891556,Guardian - United States,http://www.theguardian.com/us,2019-05-15 02:52:24,7,92288,[],0,22
https://static01.nyt.com/images/2018/11/17/us/17xp-abortion/17xp-abortion-facebookJumbo-v2.jpg,1076709417,1,Ohio House Passes Bill to Criminalize Abortions on Fetuses With a Heartbeat,https://www.nytimes.com/2018/11/16/health/ohio-abortion-ban-heartbeat-bill.html,New York Times,http://nytimes.com,2018-11-17 00:31:47,3,91246,[3687],0,23
https://media.npr.org/assets/img/2018/06/28/gettyimages-515910592_wide-e8b62d23ea37b1851361ab24dd10527361175112.jpg?s=1400,915203866,1096,What Happened With Merrick Garland In 2016 And Why It Matters Now,https://www.npr.org/2018/06/29/624467256/what-happened-with-merrick-garland-in-2016-and-why-it-matters-now?utm_medium=RSS&utm_campaign=news,NPR,http://www.npr.org/,2018-06-29 05:00:51,1,88888,[3689],0,24
https://static01.nyt.com/images/2016/06/28/us/28SCOTUS/28SCOTUS-facebookJumbo.jpg,500622394,1,Supreme Court Strikes Down Texas Abortion Restrictions,http://www.nytimes.com/2016/06/28/us/supreme-court-texas-abortion.html?_r=0,New York Times,http://nytimes.com,2016-03-31 04:00:00,2,88135,[3687],0,25
https://www.designmom.com/wp-content/uploads/2018/09/Gabrielle-Blair-Belly-Shot.jpg,986564593,5798,My Twitter Thread on Abortion,https://www.designmom.com/twitter-thread-abortion/,Design Mom,http://www.designmom.com,2018-09-13 20:24:05,1,86769,[],0,26
https://media.swncdn.com/cms/RT/64529-new-born-kelly-sikkema-446310-unsplash.1200w.tn.jpg,1180124286,129203,"""The Infant Would Be Kept Comfortable"": Is Virginia's Governor Pro-Infanticide?",https://www.christianheadlines.com/blog/the-infant-would-be-kept-comfortable-virginia-s-governor-pro-infanticide.html,christianheadlines.com,http://christianheadlines.com/,2019-01-31 11:39:56,1,84049,[3690],0,27
https://media2.foxnews.com/BrightCove/694940094001/2019/01/23/694940094001_5993052133001_5993052587001-vs.jpg,1179465526,1092,Virginia Gov. Northam faces backlash for comments on 3rd-trimester abortion bill: 'Morally repugnant',https://www.foxnews.com/politics/va-gov-faces-backlash-for-comments-on-controversial-third-trimester-abortion-bill,FOX News,http://www.foxnews.com/,2019-01-30 16:01:47,2,82110,[3690],0,28
https://media.swncdn.com/cms/RT/64231-new-york-skyline-pixabay.1200w.tn.jpg,1173382636,129203,"NY Legalizes Abortion up to Moment of Birth, Defines Person as Someone ‘Who Has Been Born’",https://www.christianheadlines.com/contributors/michael-foust/ny-legalizes-abortion-up-to-moment-of-birth-defines-person-as-someone-who-has-been-born.html,christianheadlines.com,http://christianheadlines.com/,2019-01-23 16:03:56,1,79318,[3690],0,29
,,,,,,,,,,,,0
